:ID,:LABEL,content,metadata
Sentence_0aaf71f0-a482-4a72-a407-0d6db79c7f6f,Sentence,"In a building consisting primarily of one storey, no more than 200 m2 of fire-compartmented and no more than 50 m2 of non-fire-compartmented areas that essentially relate to the business of the building may be located on the level of second storey.",{'ID': '69_Finnish_FireSafety'}
Sentence_17d9350b-ba07-405f-bbe3-3b728eab4dee,Sentence,The facilities suitable for persons with mobility and functional impairment shall be marked  with  the  International  Symbol  of  Access.,{'ID': '62_Finnish_Accessibility'}
Sentence_1de9d3e5-dee3-42c9-b929-80b7936f1642,Sentence,The lift shall provide access to the entrance level and each level with entry to a dwelling or a space serving the use of the building.,{'ID': '33_Finnish_Accessibility'}
Sentence_2ef73ac0-d424-4e28-9782-3dbaf6e0a046,Sentence,Attics and uppermost floor voids shall be divided into 400 m2 parts.,{'ID': '107_Finnish_FireSafety'}
Sentence_2ff58135-b89d-40d1-a145-51aad9e5a942,Sentence,"The landing in front of the outside door shall be at least 1,500 millimetres wide and at least 1,500 millimetres long.",{'ID': '16_Finnish_Accessibility'}
Sentence_43e26628-8b62-4cc6-91e2-284335df1564,Sentence,"In  rooms  used  for  sleeping  or  rest,  the  one-hour  A-weighted  equivalent continuous sound level of impulsive, narrow-band or low-frequency noise may not exceed 25 decibels.",{'ID': '17_Finnish_AcousticEnvironment'}
Sentence_56b0e4bf-81d7-4ab9-855b-780ef2f0b1d3,Sentence,"Storage premises with a fire load exceeding 1,200 MJ/m2 are not permitted within the building.",{'ID': '73_Finnish_FireSafety'}
Sentence_5f7b8ff7-50d0-46a2-a48b-fa19786c98fd,Sentence,"If  the  domestic  hot  water cylinder  is  located  inside  the  building  envelope,  50  of  the  calculated  domestic  hot  water cylinder heat loss shall be added to the thermal load of the spaces of the building.",{'ID': '105_Finnish_EnergyEfficiency'}
Sentence_703e5c71-bd54-4267-acf4-fa7db1e70d49,Sentence,"Any sound system in an auditorium, a restaurant, a conference facility, a facility for festive occasions, a teaching facility or other similar assembly facility or a public service facility shall have an induction loop or a similar sound transmission system.",{'ID': '67_Finnish_Accessibility'}
Sentence_7134933d-17df-4a8c-b72e-1c09177bad1c,Sentence,The spread of fire in voids of wall-type building elements must be restricted at least by storey.,{'ID': '130_Finnish_FireSafety'}
Sentence_81f14fc1-af5d-45e8-8725-94d2510e4701,Sentence,"A dwelling that is intended for service housing or supported housing of a person with mobility and functional impairment shall, irrespective of the number of storeys in the building, have a turning  space  with  a  diameter  of  at  least  1,500  millimetres  in  the  hallway  and  kitchen.",{'ID': '29_Finnish_Accessibility'}
Sentence_8207751f-13b8-4fe3-9bfe-4423093d4905,Sentence,A  building  with  dwellings  or  accommodation  or  patient  rooms  shall  be  designed  and implemented so that the reverberation time of the staircase and exit route is no more than 1.3 seconds.,{'ID': '26_Finnish_AcousticEnvironment'}
Sentence_8bb9aee2-a950-4a65-a715-287035906789,Sentence,"Spaces of a non-residential building and common spaces of a residential building as well as the fixtures, fittings and fixed equipment in them shall be suitable for persons with mobility and functional impairment.",{'ID': '27_Finnish_Accessibility'}
Sentence_956efc87-87de-4d3c-99fb-dc58eab9353b,Sentence,"A  dwelling  that  is  intended  for  sheltered  housing  or  supported  housing  of  a  person  with mobility or functional impairment shall have at least one toilet and washing facility which has a  free  space  with  a  diameter  of  at  least  1,500  millimetres.",{'ID': '42_Finnish_Accessibility'}
Sentence_a0d4a888-a5f8-449e-b28c-43fd1003dca3,Sentence, The fire compartment shall be partitioned by accommodation room.,{'ID': '258_Finnish_FireSafety'}
Sentence_b4ae0bf1-8dec-4e43-b10b-4a593780d742,Sentence,Partitioning doors in accommodation premises shall be equipped with closing devices.,{'ID': '121_Finnish_FireSafety'}
Sentence_d941229d-4de4-4873-9704-c207a9b673c8,Sentence,An exit enclosure has doors that open separately into each adjoining fire compartment without a need to open the doors at the same time.,{'ID': '26_Finnish_FireSafety'}
Sentence_da4d5959-6e64-4e04-a1f3-8b42b6addab0,Sentence,The outdoor air flow used in the calculations for buildings other than those in intended use categories 1 and 2 outside the occupancy period shall be at least 0.15 dm3/s per m2.,{'ID': '67_Finnish_EnergyEfficiency'}
Sentence_e4fb8d18-8dbc-4351-a2df-d87f880f476a,Sentence,The fire resistance time requirement for balconies is half that of the load-bearing structures of the storey.,{'ID': '90_Finnish_FireSafety'}
Sentence_e8e5b04a-e794-4933-b846-aefb5457f60b,Sentence,The toilet seat shall be placed between 200 and 300 millimetres from the rear wall.,{'ID': '57_Finnish_Accessibility'}
Sentence_10e66a84-25db-40a0-87d5-6297d0732fe4,Sentence,The shutoff valves shall be located: 1) at each house; 2) at each apartment; 3) in vertical service pipes; 4) on both sides of devices installed in the service pipes; 5) before a device or fixture that is connected to the connector pipe;  6) on both sides of the water meters.,{'ID': '93_Finnish_Health-WaterAndSewerage'}
Sentence_28c47652-47a0-4fa4-8343-beee0af2691c,Sentence,"Large  roof  surfaces  must  be  divided  into  parts  of  no  more  than  2,400 square  metres.",{'ID': '181_Finnish_FireSafety'}
Sentence_2c07775a-c1de-4796-989a-96572c81f9d4,Sentence,The crawl space must be ventilated.,{'ID': '80_Finnish_Health-Humidity'}
Sentence_38020928-c137-486e-88d7-c8feec038c99,Sentence,A building must be provided with a fire wall if it is situated adjacent to a neighbouring building or so close to a neighbouring building that the spread of fire is evident.,{'ID': '189_Finnish_FireSafety'}
Sentence_3e9fc57e-bc69-4f17-a056-dd7767afa9bb,Sentence,"If the height of the building does not exceed 28 metres, access to the attic fire compartments from the outside shall be required.",{'ID': '241_Finnish_FireSafety'}
Sentence_55d84237-8fad-4bd7-b67d-0745b9cc1e31,Sentence,"The doors of exits, and of areas leading to them, must be easy to open in an emergency.",{'ID': '222_Finnish_FireSafety'}
Sentence_73efbdcb-2751-4f01-9471-ccca44ccc0f3,Sentence,"If a drainage point is located below the height of backwater, the waste water must be pumped.",{'ID': '133_Finnish_Health-WaterAndSewerage'}
Sentence_80221d2c-8ba8-4700-b219-c35fde50f35e,Sentence,No more than two drainage wells may be connected to a floor drain and they may be located at a maximum distance of three meters from the floor drain.,{'ID': '125_Finnish_Health-WaterAndSewerage'}
Sentence_8102cb27-2e2a-4008-99d6-a53f5045f6e2,Sentence,Structures with surfaces exposed to moisture must be resistant to the effects of water.,{'ID': '36_Finnish_Health-Humidity'}
Sentence_84cd76d7-e5d0-4f39-94bc-0236c65d533a,Sentence,"in residential buildings of not more than two storeys, one exit of no less than 900 millimetres in width is permitted.",{'ID': '217_Finnish_FireSafety'}
Sentence_8595e26e-db5c-4d09-9fcf-02b530b61e23,Sentence,There must be access to each fire compartment of an attic for firefighting operations.,{'ID': '240_Finnish_FireSafety'}
Sentence_922bf8df-3a70-4f45-8c04-200b638d3b3c,Sentence,The cold water pipe shall be designed and installed so that the temperature in the cold water system may not exceed 20 degrees Celsius.,{'ID': '59_Finnish_Health-WaterAndSewerage'}
Sentence_adc0ce58-8e7e-42fa-a823-ab45f266f77f,Sentence,Sewers shall be connected to a stack vent that extends above the roofing of a building.,{'ID': '135_Finnish_Health-WaterAndSewerage'}
Sentence_cc72106e-9e7f-47cf-8a95-0173a8305dad,Sentence,"In a new building, the crawl space height must be 0.8 metres on average at the minimum.",{'ID': '83_Finnish_Health-Humidity'}
Sentence_e15250c0-1279-4d29-a1ec-31560b045007,Sentence,Extinguishing routes of basement storeys must not be connected to fire and smoke-proof exits.,{'ID': '244_Finnish_FireSafety'}
Sentence_e1f1aeb9-7453-4b6b-b3f1-6049d711868a,Sentence,The fire performance of the external wall structure of a building no more than 56 metres in height may also be demonstrated by a fullscale test.,{'ID': '156_Finnish_FireSafety'}
Sentence_e3128ebd-be79-48f2-93b5-7806c9a9026a,Sentence,"Constructions  behind  surfaces  exposed  to  running  water,  repetitious splash water or water condensation must be waterproofed.",{'ID': '110_Finnish_Health-Humidity'}
Sentence_f034fbd1-7547-425a-8163-513fcac0b66b,Sentence,The roof structures and joints must be properly inclined and sealed for water drainage.,{'ID': '103_Finnish_Health-Humidity'}
Sentence_f420ae57-5656-4558-b1a3-1079e46bf6cc,Sentence,"In the case of the storey-level door of a dwelling, or if the number of people evacuating through the door exceeds 60, doors must open in the direction of the exit.",{'ID': '223_Finnish_FireSafety'}
Sentence_fb1da22f-8ddb-4399-b441-64dca68da9af,Sentence,"If a lift or other device for moving between levels is installed in the exit of an existing building, the dwellings exit may be no less than 850 millimetres wide.",{'ID': '218_Finnish_FireSafety'}
Sentence_103f99ad-884b-4bae-9f22-ccb1c5bc3d26,Sentence,"In an open garage of no more than five storeys, the maximum area may be used as the surface area of the storeys, even though the driveways between the various storeys are combined.",{'ID': '110_Finnish_FireSafety'}
Sentence_20518e80-6f7e-457f-8c5a-59fa4c0eb324,Sentence,"When calculating the heat loss for a buildings design solution, the design value shall be used as the value of the air leakage rate figure for the building envelope.",{'ID': '137_Finnish_EnergyEfficiency'}
Sentence_21bf2954-bfa8-44ef-bb2e-4e34367965ba,Sentence,"If a load-bearing element is required to have a longer fire resistance time with respect to integrity E and insulation I than with respect to load-bearing capacity R, the longer fire resistance time shall also be applied to the load-bearing capacity.",{'ID': '88_Finnish_FireSafety'}
Sentence_385a4365-40c0-4c07-8854-b07bde292fd2,Sentence,"The  electrical  energy  consumption  of  a  mechanical ventilation  system  shall  be  calculated  on  the  basis  of  air  flows,  specific  fan  powers  and operating times for all air handling units and powered roof ventilators in the building.",{'ID': '109_Finnish_EnergyEfficiency'}
Sentence_64aead92-11dc-49ab-9086-c86f6d1f9c3e,Sentence,A dynamic calculation tool shall be used for the calculation of the room temperature for the summer season.,{'ID': '162_Finnish_EnergyEfficiency'}
Sentence_7a1bc727-1daa-4668-83f6-b44327b96898,Sentence,"In glazed balconies, the spread of fire from one balcony to another and to an adjacent fire compartment must be restricted.",{'ID': '133_Finnish_FireSafety'}
Sentence_8719164e-370a-42f2-9240-0a1b8db1a2c7,Sentence,Extensive voids must be partitioned in order to restrict the spread of fire.,{'ID': '129_Finnish_FireSafety'}
Sentence_8e5e9560-4b22-4fe0-ad86-e52b82ffe4d2,Sentence,"When  calculating  the  energy  consumption  of  a  buildings  cooling  system,  the  energy consumption of cooling energy production and the electrical energy consumption of auxiliary units  shall  be  taken  into  account  where  the  use  of  the  systems  is  required  for  indoor temperature control.",{'ID': '111_Finnish_EnergyEfficiency'}
Sentence_8efb6108-e49e-4d64-a1e4-22e3f9128b17,Sentence,"When calculating the reference heat loss of a building, the value of 2.0 m3/(h m2) shall be used as the reference value for the air leakage rate figure for the building envelope.",{'ID': '136_Finnish_EnergyEfficiency'}
Sentence_a4fccc69-c508-4405-92aa-2cfe36bfca39,Sentence,Exits of parts of the building separated by a fire wall must be constructed separately so that in the event of a fire there is no need to use any door that may be in the fire wall.,{'ID': '209_Finnish_FireSafety'}
Sentence_b810df40-4dd8-44c4-80c4-b33bb873a5e9,Sentence,"If  the  circulation  piping  is  located  inside  the  building envelopes insulation, 25 of the calculated domestic hot water circulation heat loss shall be added  to  the  thermal  load  of  the  spaces  of  the  building.",{'ID': '103_Finnish_EnergyEfficiency'}
Sentence_d3fc8c9b-c23a-4188-8723-369caa90453c,Sentence,"The reference value for a building's total combined window area is 15 of the sum total of the floor  plate areas  of  the  buildings  storeys that  are  fully  or in  part  above  the  ground  but, however, at most 50 of the building's facade area.",{'ID': '124_Finnish_EnergyEfficiency'}
Sentence_e93da678-4b62-493b-8c4d-31a95da3885d,Sentence,An energy declaration shall be drawn up when designing a building.,{'ID': '172_Finnish_EnergyEfficiency'}
Sentence_eeb4239f-3819-475c-ad20-756bed80c4ff,Sentence,"In reference heat loss calculations, the value used as the annual efficiency of heat recovery from ventilation extract air of the buildings ventilation system shall be 55.",{'ID': '151_Finnish_EnergyEfficiency'}
Sentence_efd2d371-97de-4d5e-af06-e404ff71f316,Sentence,The impact of the ground and crawl space on heat loss shall be taken into account in heat loss calculations.,{'ID': '91_Finnish_EnergyEfficiency'}
Sentence_efe70fd9-5cdd-4586-9ebc-73c2960b1e00,Sentence,"If a fire door is kept open in normal use, it shall be equipped with devices that will close the door in the event of fire.",{'ID': '120_Finnish_FireSafety'}
Sentence_f19c920a-bd5a-49ac-a111-69fb944271b4,Sentence,The net heating energy demand for ventilation shall be calculated on the basis of the heating of air after heat recovery to supply air temperature and any heating before heat recovery.,{'ID': '86_Finnish_EnergyEfficiency'}
Sentence_f439dcde-3cf9-4b40-b555-a2107ae5559f,Sentence,"If  the  circulation  piping  is  located inside the building envelope, 50 of the calculated domestic hot water circulation heat loss shall  be  added  to  the  thermal  load  of  the  spaces  of  the  building.",{'ID': '104_Finnish_EnergyEfficiency'}
Sentence_f7935bb4-9e5f-4e91-bbf1-54e45c1ef24c,Sentence,A building with a height exceeding 9 metres must be equipped with anchoring structures for safety lines.,{'ID': '127_Finnish_SafetyOfUse'}
