:START_ID,:END_ID,:TYPE
Sentence_0aaf71f0-a482-4a72-a407-0d6db79c7f6f,building,HAS_ENTITY
Sentence_0aaf71f0-a482-4a72-a407-0d6db79c7f6f,consisting_primarily_of_one_storey,HAS_ENTITY
Sentence_0aaf71f0-a482-4a72-a407-0d6db79c7f6f,200_m2,HAS_ENTITY
Sentence_0aaf71f0-a482-4a72-a407-0d6db79c7f6f,fire_compartmented,HAS_ENTITY
Sentence_0aaf71f0-a482-4a72-a407-0d6db79c7f6f,50_m2,HAS_ENTITY
Sentence_0aaf71f0-a482-4a72-a407-0d6db79c7f6f,non_fire_compartmented,HAS_ENTITY
Sentence_0aaf71f0-a482-4a72-a407-0d6db79c7f6f,areas,HAS_ENTITY
Sentence_0aaf71f0-a482-4a72-a407-0d6db79c7f6f,essentially_relate_to_the_business_of_the_building,HAS_ENTITY
Sentence_0aaf71f0-a482-4a72-a407-0d6db79c7f6f,located_on_the_level_of_second_storey,HAS_ENTITY
building,consisting_primarily_of_one_storey,NECESSITY
consisting_primarily_of_one_storey,200_m2,NECESSITY
200_m2,fire_compartmented,NECESSITY
fire_compartmented,50_m2,NECESSITY
50_m2,non_fire_compartmented,NECESSITY
non_fire_compartmented,areas,NECESSITY
areas,essentially_relate_to_the_business_of_the_building,NECESSITY
essentially_relate_to_the_business_of_the_building,located_on_the_level_of_second_storey,NECESSITY
building,consisting_primarily_of_one_storey,NONE
consisting_primarily_of_one_storey,200_m2,NONE
200_m2,fire_compartmented,NONE
fire_compartmented,50_m2,NONE
50_m2,non_fire_compartmented,NONE
non_fire_compartmented,areas,NONE
areas,essentially_relate_to_the_business_of_the_building,NONE
essentially_relate_to_the_business_of_the_building,located_on_the_level_of_second_storey,NONE
building,consisting_primarily_of_one_storey,PART_OF
consisting_primarily_of_one_storey,200_m2,PART_OF
200_m2,fire_compartmented,PART_OF
fire_compartmented,50_m2,PART_OF
50_m2,non_fire_compartmented,PART_OF
non_fire_compartmented,areas,PART_OF
areas,essentially_relate_to_the_business_of_the_building,PART_OF
essentially_relate_to_the_business_of_the_building,located_on_the_level_of_second_storey,PART_OF
building,consisting_primarily_of_one_storey,SELECTION
consisting_primarily_of_one_storey,200_m2,SELECTION
200_m2,fire_compartmented,SELECTION
fire_compartmented,50_m2,SELECTION
50_m2,non_fire_compartmented,SELECTION
non_fire_compartmented,areas,SELECTION
areas,essentially_relate_to_the_business_of_the_building,SELECTION
essentially_relate_to_the_business_of_the_building,located_on_the_level_of_second_storey,SELECTION
building,consisting_primarily_of_one_storey,LESS_EQUAL
consisting_primarily_of_one_storey,200_m2,LESS_EQUAL
200_m2,fire_compartmented,LESS_EQUAL
fire_compartmented,50_m2,LESS_EQUAL
50_m2,non_fire_compartmented,LESS_EQUAL
non_fire_compartmented,areas,LESS_EQUAL
areas,essentially_relate_to_the_business_of_the_building,LESS_EQUAL
essentially_relate_to_the_business_of_the_building,located_on_the_level_of_second_storey,LESS_EQUAL
Sentence_17d9350b-ba07-405f-bbe3-3b728eab4dee,facilities,HAS_ENTITY
Sentence_17d9350b-ba07-405f-bbe3-3b728eab4dee,suitable_for_persons_with_mobility_and_functional_impairment,HAS_ENTITY
Sentence_17d9350b-ba07-405f-bbe3-3b728eab4dee,marked_with_the_International_Symbol_of_Access,HAS_ENTITY
facilities,suitable_for_persons_with_mobility_and_functional_impairment,NECESSITY
suitable_for_persons_with_mobility_and_functional_impairment,marked_with_the_International_Symbol_of_Access,NECESSITY
facilities,suitable_for_persons_with_mobility_and_functional_impairment,SELECTION
suitable_for_persons_with_mobility_and_functional_impairment,marked_with_the_International_Symbol_of_Access,SELECTION
Sentence_1de9d3e5-dee3-42c9-b929-80b7936f1642,lift,HAS_ENTITY
